current	min	max	0~100us	>100us

88	88	88	1	0
94	88	94	2	0
91	88	94	3	0
98	88	98	4	0
132	88	132	4	1
101	88	132	4	2
106	88	132	4	3
125	88	132	4	4
83	83	132	5	4
107	83	132	5	5
125	83	132	5	6
119	83	132	5	7
87	83	132	6	7
106	83	132	6	8
95	83	132	7	8
123	83	132	7	9
126	83	132	7	10
132	83	132	7	11
133	83	133	7	12
165	83	165	7	13
93	83	165	8	13
345	83	345	8	14
143	83	345	8	15
134	83	345	8	16
142	83	345	8	17
155	83	345	8	18
147	83	345	8	19
153	83	345	8	20
177	83	345	8	21
133	83	345	8	22
183	83	345	8	23
166	83	345	8	24
176	83	345	8	25
165	83	345	8	26
209	83	345	8	27
190	83	345	8	28
196	83	345	8	29
197	83	345	8	30
202	83	345	8	31
136	83	345	8	32
192	83	345	8	33
134	83	345	8	34
201	83	345	8	35
200	83	345	8	36
198	83	345	8	37
185	83	345	8	38
255	83	345	8	39
226	83	345	8	40
259	83	345	8	41
308	83	345	8	42
173	83	345	8	43
181	83	345	8	44
231	83	345	8	45
189	83	345	8	46
175	83	345	8	47
231	83	345	8	48
272	83	345	8	49
205	83	345	8	50
270	83	345	8	51
479	83	479	8	52
277	83	479	8	53
256	83	479	8	54
287	83	479	8	55
239	83	479	8	56
260	83	479	8	57
257	83	479	8	58
280	83	479	8	59
284	83	479	8	60
289	83	479	8	61
303	83	479	8	62
300	83	479	8	63
309	83	479	8	64
315	83	479	8	65
277	83	479	8	66
300	83	479	8	67
304	83	479	8	68
306	83	479	8	69
311	83	479	8	70
302	83	479	8	71
233	83	479	8	72
255	83	479	8	73
308	83	479	8	74
337	83	479	8	75
325	83	479	8	76
330	83	479	8	77
330	83	479	8	78
337	83	479	8	79
531	83	531	8	80
329	83	531	8	81
343	83	531	8	82
337	83	531	8	83
332	83	531	8	84
341	83	531	8	85
365	83	531	8	86
358	83	531	8	87
328	83	531	8	88
364	83	531	8	89
356	83	531	8	90
373	83	531	8	91
360	83	531	8	92
340	83	531	8	93
387	83	531	8	94
362	83	531	8	95
439	83	531	8	96
366	83	531	8	97
384	83	531	8	98
357	83	531	8	99
347	83	531	8	100
339	83	531	8	101
391	83	531	8	102
333	83	531	8	103
392	83	531	8	104
387	83	531	8	105
399	83	531	8	106
334	83	531	8	107
396	83	531	8	108
402	83	531	8	109
521	83	531	8	110
419	83	531	8	111
416	83	531	8	112
425	83	531	8	113
431	83	531	8	114
423	83	531	8	115
447	83	531	8	116
433	83	531	8	117
388	83	531	8	118
420	83	531	8	119
410	83	531	8	120
434	83	531	8	121
441	83	531	8	122
439	83	531	8	123
441	83	531	8	124
438	83	531	8	125
408	83	531	8	126
208	83	531	8	127
235	83	531	8	128
288	83	531	8	129
252	83	531	8	130
215	83	531	8	131
244	83	531	8	132
250	83	531	8	133
244	83	531	8	134
246	83	531	8	135
247	83	531	8	136
240	83	531	8	137
380	83	531	8	138
239	83	531	8	139
263	83	531	8	140
246	83	531	8	141
248	83	531	8	142
211	83	531	8	143
295	83	531	8	144
213	83	531	8	145
245	83	531	8	146
192	83	531	8	147
249	83	531	8	148
248	83	531	8	149
246	83	531	8	150
219	83	531	8	151
203	83	531	8	152
243	83	531	8	153
214	83	531	8	154
230	83	531	8	155
206	83	531	8	156
337	83	531	8	157
404	83	531	8	158
211	83	531	8	159
246	83	531	8	160
248	83	531	8	161
234	83	531	8	162
203	83	531	8	163
217	83	531	8	164
211	83	531	8	165
199	83	531	8	166
217	83	531	8	167
249	83	531	8	168
262	83	531	8	169
242	83	531	8	170
243	83	531	8	171
240	83	531	8	172
247	83	531	8	173
221	83	531	8	174
240	83	531	8	175
250	83	531	8	176
248	83	531	8	177
246	83	531	8	178
239	83	531	8	179
211	83	531	8	180
219	83	531	8	181
246	83	531	8	182
249	83	531	8	183
235	83	531	8	184
382	83	531	8	185
194	83	531	8	186
251	83	531	8	187
250	83	531	8	188
236	83	531	8	189
243	83	531	8	190
282	83	531	8	191
245	83	531	8	192
244	83	531	8	193
239	83	531	8	194
242	83	531	8	195
245	83	531	8	196
245	83	531	8	197
372	83	531	8	198
223	83	531	8	199
382	83	531	8	200
237	83	531	8	201
241	83	531	8	202
242	83	531	8	203
243	83	531	8	204
254	83	531	8	205
245	83	531	8	206
241	83	531	8	207
264	83	531	8	208
241	83	531	8	209
236	83	531	8	210
242	83	531	8	211
325	83	531	8	212
368	83	531	8	213
214	83	531	8	214
209	83	531	8	215
211	83	531	8	216
367	83	531	8	217
270	83	531	8	218
371	83	531	8	219
251	83	531	8	220
250	83	531	8	221
248	83	531	8	222
208	83	531	8	223
248	83	531	8	224
311	83	531	8	225
268	83	531	8	226
211	83	531	8	227
199	83	531	8	228
246	83	531	8	229
245	83	531	8	230
241	83	531	8	231
248	83	531	8	232
204	83	531	8	233
250	83	531	8	234
202	83	531	8	235
227	83	531	8	236
210	83	531	8	237
244	83	531	8	238
216	83	531	8	239
198	83	531	8	240
238	83	531	8	241
306	83	531	8	242
245	83	531	8	243
238	83	531	8	244
