current	min	max	0~100us	>100us

75	75	75	1	0
130	75	130	1	1
87	75	130	2	1
89	75	130	3	1
86	75	130	4	1
163	75	163	4	2
78	75	163	5	2
86	75	163	6	2
103	75	163	6	3
88	75	163	7	3
112	75	163	7	4
124	75	163	7	5
86	75	163	8	5
123	75	163	8	6
103	75	163	8	7
123	75	163	8	8
94	75	163	9	8
127	75	163	9	9
123	75	163	9	10
138	75	163	9	11
128	75	163	9	12
104	75	163	9	13
134	75	163	9	14
130	75	163	9	15
151	75	163	9	16
178	75	178	9	17
149	75	178	9	18
150	75	178	9	19
106	75	178	9	20
167	75	178	9	21
144	75	178	9	22
123	75	178	9	23
154	75	178	9	24
176	75	178	9	25
129	75	178	9	26
106	75	178	9	27
164	75	178	9	28
115	75	178	9	29
117	75	178	9	30
176	75	178	9	31
180	75	180	9	32
187	75	187	9	33
175	75	187	9	34
129	75	187	9	35
181	75	187	9	36
195	75	195	9	37
176	75	195	9	38
181	75	195	9	39
122	75	195	9	40
134	75	195	9	41
201	75	201	9	42
149	75	201	9	43
194	75	201	9	44
193	75	201	9	45
199	75	201	9	46
208	75	208	9	47
212	75	212	9	48
163	75	212	9	49
202	75	212	9	50
257	75	257	9	51
193	75	257	9	52
201	75	257	9	53
160	75	257	9	54
175	75	257	9	55
184	75	257	9	56
241	75	257	9	57
199	75	257	9	58
163	75	257	9	59
196	75	257	9	60
249	75	257	9	61
200	75	257	9	62
215	75	257	9	63
181	75	257	9	64
220	75	257	9	65
220	75	257	9	66
195	75	257	9	67
218	75	257	9	68
226	75	257	9	69
172	75	257	9	70
221	75	257	9	71
218	75	257	9	72
168	75	257	9	73
228	75	257	9	74
229	75	257	9	75
227	75	257	9	76
198	75	257	9	77
230	75	257	9	78
235	75	257	9	79
183	75	257	9	80
208	75	257	9	81
233	75	257	9	82
223	75	257	9	83
179	75	257	9	84
210	75	257	9	85
227	75	257	9	86
229	75	257	9	87
278	75	278	9	88
273	75	278	9	89
282	75	282	9	90
277	75	282	9	91
217	75	282	9	92
223	75	282	9	93
288	75	288	9	94
283	75	288	9	95
285	75	288	9	96
219	75	288	9	97
253	75	288	9	98
279	75	288	9	99
272	75	288	9	100
280	75	288	9	101
284	75	288	9	102
359	75	359	9	103
361	75	361	9	104
248	75	361	9	105
250	75	361	9	106
207	75	361	9	107
226	75	361	9	108
273	75	361	9	109
285	75	361	9	110
218	75	361	9	111
303	75	361	9	112
299	75	361	9	113
302	75	361	9	114
300	75	361	9	115
304	75	361	9	116
305	75	361	9	117
310	75	361	9	118
286	75	361	9	119
293	75	361	9	120
266	75	361	9	121
308	75	361	9	122
278	75	361	9	123
310	75	361	9	124
310	75	361	9	125
312	75	361	9	126
259	75	361	9	127
300	75	361	9	128
251	75	361	9	129
311	75	361	9	130
317	75	361	9	131
289	75	361	9	132
303	75	361	9	133
307	75	361	9	134
308	75	361	9	135
334	75	361	9	136
496	75	496	9	137
524	75	524	9	138
308	75	524	9	139
338	75	524	9	140
335	75	524	9	141
339	75	524	9	142
335	75	524	9	143
325	75	524	9	144
298	75	524	9	145
281	75	524	9	146
338	75	524	9	147
341	75	524	9	148
336	75	524	9	149
333	75	524	9	150
330	75	524	9	151
342	75	524	9	152
329	75	524	9	153
286	75	524	9	154
332	75	524	9	155
392	75	524	9	156
320	75	524	9	157
333	75	524	9	158
336	75	524	9	159
359	75	524	9	160
560	75	560	9	161
322	75	560	9	162
356	75	560	9	163
361	75	560	9	164
368	75	560	9	165
364	75	560	9	166
352	75	560	9	167
368	75	560	9	168
371	75	560	9	169
345	75	560	9	170
324	75	560	9	171
389	75	560	9	172
655	75	655	9	173
346	75	655	9	174
360	75	655	9	175
368	75	655	9	176
347	75	655	9	177
373	75	655	9	178
587	75	655	9	179
363	75	655	9	180
382	75	655	9	181
328	75	655	9	182
364	75	655	9	183
362	75	655	9	184
374	75	655	9	185
396	75	655	9	186
391	75	655	9	187
409	75	655	9	188
389	75	655	9	189
608	75	655	9	190
393	75	655	9	191
388	75	655	9	192
383	75	655	9	193
394	75	655	9	194
503	75	655	9	195
379	75	655	9	196
482	75	655	9	197
372	75	655	9	198
381	75	655	9	199
403	75	655	9	200
334	75	655	9	201
385	75	655	9	202
343	75	655	9	203
381	75	655	9	204
370	75	655	9	205
482	75	655	9	206
479	75	655	9	207
424	75	655	9	208
429	75	655	9	209
427	75	655	9	210
429	75	655	9	211
584	75	655	9	212
420	75	655	9	213
519	75	655	9	214
446	75	655	9	215
393	75	655	9	216
425	75	655	9	217
425	75	655	9	218
366	75	655	9	219
426	75	655	9	220
416	75	655	9	221
378	75	655	9	222
381	75	655	9	223
412	75	655	9	224
430	75	655	9	225
429	75	655	9	226
459	75	655	9	227
499	75	655	9	228
433	75	655	9	229
421	75	655	9	230
430	75	655	9	231
469	75	655	9	232
450	75	655	9	233
503	75	655	9	234
423	75	655	9	235
432	75	655	9	236
443	75	655	9	237
507	75	655	9	238
450	75	655	9	239
474	75	655	9	240
482	75	655	9	241
425	75	655	9	242
251	75	655	9	243
